NR,EXPERIMENT,ACC,RT,TRIAL_TYPE,REACTION
1,True,False,0.49586229999840725,right,l
2,True,False,0.3392405999984476,right,l
3,True,False,0.3384875000010652,right,l
4,True,False,0.3351884000003338,right,l
5,True,False,0.1143408999996609,right,a
6,True,False,0.013486600000760518,left,l
7,True,False,0.060761500000808155,right,a
8,True,False,0.36983979999786243,right,l
9,True,False,0.07771289999800501,right,l
1,True,False,0.09519079999881797,left,l
2,True,False,0.053960599998390535,left,l
3,True,False,0.07056519999969169,right,l
4,True,False,0.012525000001915032,right,a
5,True,False,0.1077307000014116,right,a
6,True,False,0.0535859999981767,left,a
7,True,False,0.005289799999445677,right,l
8,True,False,0.21125459999893792,left,l
9,True,False,0.1093951000002562,right,a
1,True,False,0.13823739999861573,right,l
2,True,False,0.02628310000000056,right,a
3,True,False,0.070453100001032,left,a
4,True,False,0.06569419999868842,left,a
5,True,False,0.004658900001231814,right,l
6,True,False,0.010579800000414252,left,a
7,True,False,0.06146210000224528,left,l
8,True,False,0.20880039999974542,right,l
9,True,False,0.01019079999969108,right,l
